SimTicketID,SampledHistoricalTicket,ArrivalTime,CompletionTime,TotalSystemTime,Closed_Level,Level1_Minutes,Level2_Minutes,Level3_Minutes
169,TKT0469,5317.339181871483,5342.339181871483,25.0,2,10,15,0
167,TKT0338,5274.849251278039,5367.849251278039,93.0,2,81,12,0
168,TKT0241,5284.51359199424,5403.51359199424,119.0,1,119,0,0
170,TKT0185,5372.120891304483,5408.120891304483,36.0,1,36,0,0
172,TKT0257,5390.733005263578,5432.733005263578,42.0,2,23,19,0
175,TKT0153,5412.234751332037,5462.733005263578,50.4982539315406,1,49,0,0
173,TKT0293,5392.994136920621,5491.51359199424,98.51945507361961,1,88,0,0
174,TKT0181,5408.606297182315,5518.606297182315,110.0,1,110,0,0
171,TKT0150,5379.183754150289,5582.183754150289,203.0,3,8,111,84
176,TKT0234,5421.904521991342,5604.733005263578,182.82848327223564,2,56,86,0
178,TKT0389,5476.481635042553,5642.733005263578,166.25137022102535,2,57,38,0
180,TKT0135,5479.72627342641,5662.51359199424,182.78731856782997,1,101,0,0
177,TKT0328,5460.201092444681,5667.51359199424,207.3124995495591,2,70,106,0
181,TKT0044,5531.418019401232,5727.733005263578,196.31498586234557,2,5,85,0
186,TKT0226,5696.19927600518,5728.19927600518,32.0,1,32,0,0
182,TKT0425,5553.582259985807,5747.51359199424,193.93133200843386,2,20,38,0
183,TKT0272,5581.388547657121,5758.733005263578,177.34445760645667,2,82,31,0
179,TKT0172,5479.369433880455,5775.51359199424,296.1441581137851,3,68,42,66
187,TKT0054,5712.081941764048,5780.733005263578,68.65106349953021,2,38,22,0
184,TKT0189,5675.249250669747,5788.51359199424,113.26434132449322,3,25,23,13
185,TKT0444,5692.741870203584,5791.741870203584,99.0,1,99,0,0
188,TKT0429,5722.524391174508,5850.19927600518,127.67488483067154,3,49,49,24
189,TKT0107,5746.311103883948,5856.081941764048,109.77083788009986,1,106,0,0
193,TKT0128,5840.698647333624,5872.081941764048,31.38329443042403,1,6,0,0
192,TKT0229,5839.083612263115,5921.081941764048,81.99832950093241,2,10,55,0
196,TKT0263,5928.9752838362265,5948.9752838362265,20.0,1,20,0,0
194,TKT0354,5848.8329155954525,5985.19927600518,136.36636040972735,2,32,42,0
190,TKT0264,5757.795736028653,5994.19927600518,236.4035399765271,3,95,71,51
191,TKT0058,5808.032157092494,6005.081941764048,197.04978467155343,2,69,84,0
195,TKT0327,5856.675542987175,6062.19927600518,205.52373301800526,2,100,77,0
198,TKT0258,6086.26643773087,6113.26643773087,27.0,1,27,0,0
197,TKT0230,6030.9828655759,6125.9828655759,95.0,1,95,0,0
200,TKT0366,6158.666401497704,6222.666401497704,64.0,1,64,0,0
201,TKT0195,6164.006570906114,6226.006570906114,62.0,1,62,0,0
199,TKT0280,6121.365517976884,6236.365517976884,115.0,1,115,0,0
203,TKT0157,6200.000882832782,6321.006570906114,121.00568807333184,1,95,0,0
204,TKT0282,6228.873018422331,6338.365517976884,109.49249955455252,1,102,0,0
205,TKT0170,6236.287957829816,6355.666401497704,119.37844366788795,1,91,0,0
